split,method,seed,rows,task_success,critical_event_recall,wasted_attention,compute_cost,latency_violation,safety_violation,physical_regret,calibration_error
balanced_nominal,active_perception_value,0,168,0.73214,0.67755,0.28115,4.09917,0.41667,0.04167,0.10751,0.13382
balanced_nominal,active_perception_value,1,168,0.70833,0.67006,0.27460,4.10942,0.47619,0.06548,0.10874,0.13352
balanced_nominal,active_perception_value,2,168,0.70238,0.67063,0.26012,4.09182,0.44048,0.05357,0.10861,0.13278
balanced_nominal,active_perception_value,3,168,0.72024,0.70609,0.27510,4.07808,0.37500,0.06548,0.10017,0.13060
balanced_nominal,active_perception_value,4,168,0.69048,0.68589,0.27738,4.07678,0.37500,0.05357,0.10578,0.13286
balanced_nominal,active_perception_value,5,168,0.73810,0.69289,0.26696,4.09011,0.44048,0.09524,0.10388,0.13142
balanced_nominal,active_perception_value,6,168,0.70833,0.66745,0.28621,4.07806,0.36905,0.06548,0.11072,0.13586
balanced_nominal,compute_adaptive_policy,0,168,0.45238,0.41362,0.58294,4.07538,0.41667,0.20238,0.29093,0.09634
balanced_nominal,compute_adaptive_policy,1,168,0.54167,0.43561,0.54196,4.06080,0.39881,0.18452,0.28308,0.09889
balanced_nominal,compute_adaptive_policy,2,168,0.48810,0.42663,0.55903,4.08489,0.43452,0.13690,0.28295,0.09973
balanced_nominal,compute_adaptive_policy,3,168,0.43452,0.44719,0.56944,4.06895,0.42857,0.12500,0.27636,0.09554
balanced_nominal,compute_adaptive_policy,4,168,0.43452,0.42509,0.56458,4.07271,0.43452,0.18452,0.28851,0.09309
balanced_nominal,compute_adaptive_policy,5,168,0.50595,0.44753,0.54603,4.08784,0.39286,0.19048,0.27220,0.09970
balanced_nominal,compute_adaptive_policy,6,168,0.51786,0.40945,0.57698,4.08691,0.41667,0.20833,0.28975,0.09634
balanced_nominal,embodied_consequence_budgeting,0,168,0.84524,0.80663,0.16667,4.05494,0.33929,0.02976,0.04720,0.13499
balanced_nominal,embodied_consequence_budgeting,1,168,0.82738,0.81721,0.14901,4.06149,0.39881,0.04167,0.04442,0.13774
balanced_nominal,embodied_consequence_budgeting,2,168,0.84524,0.81144,0.14196,4.07819,0.39881,0.02976,0.04302,0.13738
balanced_nominal,embodied_consequence_budgeting,3,168,0.83929,0.83383,0.16974,4.04711,0.32738,0.03571,0.03938,0.13340
balanced_nominal,embodied_consequence_budgeting,4,168,0.88690,0.81354,0.17143,4.06981,0.39286,0.01786,0.04562,0.13414
balanced_nominal,embodied_consequence_budgeting,5,168,0.87500,0.81865,0.15040,4.08726,0.38095,0.02976,0.04378,0.13412
balanced_nominal,embodied_consequence_budgeting,6,168,0.86310,0.79684,0.18323,4.05805,0.35714,0.07738,0.04950,0.14011
balanced_nominal,oracle_consequence_attention,0,168,0.87500,0.83050,0.13591,4.05011,0.35119,0.00000,0.03611,0.13503
balanced_nominal,oracle_consequence_attention,1,168,0.83333,0.82694,0.14375,4.08942,0.42857,0.02976,0.03690,0.13634
balanced_nominal,oracle_consequence_attention,2,168,0.80952,0.82632,0.12649,4.08276,0.40476,0.02976,0.03675,0.13572
balanced_nominal,oracle_consequence_attention,3,168,0.90476,0.84962,0.15486,4.07233,0.41071,0.02381,0.03198,0.13220
balanced_nominal,oracle_consequence_attention,4,168,0.83333,0.82583,0.15774,4.08175,0.41071,0.04167,0.03715,0.13363
balanced_nominal,oracle_consequence_attention,5,168,0.83929,0.82524,0.14335,4.09407,0.39286,0.03571,0.03706,0.13395
balanced_nominal,oracle_consequence_attention,6,168,0.86905,0.82686,0.15387,4.06272,0.36905,0.03571,0.03720,0.13691
balanced_nominal,risk_aware_attention,0,168,0.76190,0.68531,0.27361,4.07319,0.39286,0.05357,0.10074,0.13585
balanced_nominal,risk_aware_attention,1,168,0.73810,0.68184,0.27004,4.12617,0.50595,0.04762,0.10091,0.13513
balanced_nominal,risk_aware_attention,2,168,0.72619,0.68583,0.25992,4.09857,0.44048,0.03571,0.10255,0.13491
balanced_nominal,risk_aware_attention,3,168,0.75595,0.71496,0.27133,4.08993,0.41071,0.07143,0.09300,0.13294
balanced_nominal,risk_aware_attention,4,168,0.74405,0.69917,0.26577,4.06762,0.38095,0.02381,0.09885,0.13491
balanced_nominal,risk_aware_attention,5,168,0.77381,0.71273,0.24702,4.09993,0.42857,0.06548,0.09381,0.13490
balanced_nominal,risk_aware_attention,6,168,0.71429,0.67828,0.28442,4.10807,0.42857,0.05357,0.10191,0.13864
balanced_nominal,token_salience_transformer,0,168,0.14881,0.07584,0.90308,4.10524,0.39881,0.32143,0.57768,0.04152
balanced_nominal,token_salience_transformer,1,168,0.10714,0.08651,0.88671,4.13352,0.48214,0.39286,0.58664,0.03800
balanced_nominal,token_salience_transformer,2,168,0.14881,0.09084,0.88948,4.10723,0.51190,0.30952,0.59463,0.03506
balanced_nominal,token_salience_transformer,3,168,0.12500,0.09062,0.88968,4.11340,0.44643,0.30357,0.57674,0.03982
balanced_nominal,token_salience_transformer,4,168,0.19048,0.10011,0.87550,4.10571,0.41667,0.32738,0.57304,0.03962
balanced_nominal,token_salience_transformer,5,168,0.16071,0.09150,0.88135,4.11834,0.45238,0.33333,0.57226,0.04102
balanced_nominal,token_salience_transformer,6,168,0.17857,0.08487,0.89018,4.10729,0.44643,0.27976,0.58987,0.03884
balanced_nominal,uncertainty_attention,0,168,0.27976,0.18632,0.76667,4.11280,0.45238,0.26786,0.44387,0.06509
balanced_nominal,uncertainty_attention,1,168,0.24405,0.18015,0.76875,4.12093,0.48214,0.23214,0.47050,0.05944
balanced_nominal,uncertainty_attention,2,168,0.27976,0.22660,0.72312,4.13943,0.56548,0.26190,0.43562,0.06569
balanced_nominal,uncertainty_attention,3,168,0.22024,0.23540,0.72817,4.14853,0.54762,0.27381,0.43095,0.06337
balanced_nominal,uncertainty_attention,4,168,0.27976,0.21990,0.73472,4.12997,0.50000,0.29762,0.44072,0.06422
balanced_nominal,uncertainty_attention,5,168,0.22024,0.21911,0.73264,4.14210,0.55357,0.30952,0.44014,0.06389
balanced_nominal,uncertainty_attention,6,168,0.22024,0.18561,0.76210,4.13770,0.57143,0.28571,0.45202,0.06080
balanced_nominal,uniform_attention_budget,0,168,0.22024,0.20817,0.76667,4.06792,0.40476,0.29762,0.44453,0.06431
balanced_nominal,uniform_attention_budget,1,168,0.26786,0.19225,0.78641,4.08149,0.39881,0.20238,0.46459,0.06187
balanced_nominal,uniform_attention_budget,2,168,0.26190,0.20943,0.76448,4.08338,0.42857,0.30952,0.45794,0.06411
balanced_nominal,uniform_attention_budget,3,168,0.28571,0.23094,0.75228,4.08716,0.41071,0.23810,0.43515,0.06436
balanced_nominal,uniform_attention_budget,4,168,0.32143,0.22523,0.74544,4.08147,0.34524,0.27976,0.43794,0.06616
balanced_nominal,uniform_attention_budget,5,168,0.25595,0.19794,0.76885,4.09453,0.42857,0.34524,0.45578,0.06329
balanced_nominal,uniform_attention_budget,6,168,0.26190,0.22342,0.74871,4.09151,0.43452,0.27381,0.44635,0.06353
